주차,아이템대분류,중분류,소분류,판매량,판매액,정상가환원매출,할인율(%)
200708,외의류,점퍼,패딩점퍼,1860,79284400,162877600,51.3
200708,외의류,코트,모직코트,509,30952000,63056000,50.9
200708,치마류,스커트,다이마루스커트,1579,44243200,46322200,4.5
200708,치마류,스커트,스커트짧은형,3304,101537600,129683200,21.7
200708,치마류,원피스,우븐나시원피스,4,120000,239200,49.8
200708,치마류,원피스,원피스(니트),-1,-12000,-25800,53.5
200708,티셔츠류,긴팔티셔츠,무지긴팔티,16797,136433900,191424600,28.7
200708,티셔츠류,긴팔티셔츠,변형긴팔티,18667,354381600,396716600,10.7
200708,티셔츠류,나시형티셔츠,민소매티,19772,255914400,256238600,0.1
200708,티셔츠류,런닝형티셔츠,무지반팔티,4265,25587800,25840800,1.0
200708,티셔츠류,런닝형티셔츠,변형반팔티,7466,147228600,147812800,0.4
200708,티셔츠류,런닝형티셔츠,전사반팔티,72827,886099400,993000600,10.8
200708,티셔츠류,맨투맨,맨투맨무지,89,801000,1882200,57.4
200708,티셔츠류,맨투맨,맨투맨변형,70685,1980785400,2497745000,20.7
200708,티셔츠류,반팔티셔츠,무지폴로티,-22,-186000,-281600,33.9
200708,티셔츠류,반팔티셔츠,변형폴로티,2065,52716000,53007000,0.5
200708,패션잡화,가방,가방,491,19572600,20835800,6.1
200708,패션잡화,모자,모자,1856,34292300,33524800,-2.3
200708,패션잡화,벨트,벨트,717,19314600,21813600,11.5
200708,패션잡화,양말,양말,2214,8836000,8922400,1.0
200708,패션잡화,"우비,우산",우산,4,28000,39200,28.6
200708,패션잡화,장갑,장갑,5,101000,176000,42.6
200708,패션잡화,패브릭잡화,목도리(머플러),3,-100500,-163600,38.6
200709,바지류,바지,다이마루바지,4199,112654300,113948200,1.1
200709,바지류,바지,반바지,-52,-1040000,-1560000,33.3
200709,바지류,바지,변형바지,13085,511552900,603425800,15.2
200709,바지류,청바지,청바지,23655,903354600,1044681000,13.5
200709,셔츠류,남방,무지 셔츠,820,20682000,20976000,1.4
200709,셔츠류,남방,변형 셔츠,345,14196600,13479000,-5.3
200709,셔츠류,남방,스트라이프,2003,47906100,59775400,19.9
200709,셔츠류,남방,체크,15134,432200500,448985200,3.7
200709,스웨터류,스웨터,기본스웨터,700,41723300,29170000,-43.0
200709,스웨터류,스웨터,풀오버스웨터,5295,170666300,204119000,16.4
200709,스웨터류,스웨터가디건,가디건,5916,224601900,276974800,18.9
200709,스웨터류,스웨터조끼,조끼,24,475200,475200,0.0
200709,신발,캔버스화,운동화,1204,25599600,25567200,-0.1
200709,액세서리,액세서리 기타,"와펜,브로찌류",30,495400,515000,3.8
200709,외의류,점퍼,"가죽점퍼,무스탕",9,384000,1235400,68.9
200709,외의류,점퍼,다운점퍼,224,8013200,16582800,51.7
200709,외의류,점퍼,일반점퍼,5468,327361300,374814400,12.7
200709,외의류,점퍼,패딩점퍼,679,28233400,58652600,51.9
200709,외의류,코트,모직코트,65,3642600,7514400,51.5
200709,치마류,스커트,다이마루스커트,1513,41801000,44019400,5.0
200709,치마류,스커트,스커트짧은형,3812,123235800,149497600,17.6
200709,치마류,원피스,우븐나시원피스,1,15000,49800,69.9
200709,치마류,원피스,원피스(니트),-72,-1080000,-2145600,49.7
200709,티셔츠류,긴팔티셔츠,무지긴팔티,9415,91947600,111734000,17.7
200709,티셔츠류,긴팔티셔츠,변형긴팔티,18187,361723600,387858600,6.7
200709,티셔츠류,나시형티셔츠,민소매티,18216,246304400,240532800,-2.4
200709,티셔츠류,런닝형티셔츠,무지반팔티,2996,17976000,17611200,-2.1
200709,티셔츠류,런닝형티셔츠,변형반팔티,8294,159273600,149452200,-6.6
200709,티셔츠류,런닝형티셔츠,전사반팔티,63749,812910200,878931200,7.5
200709,티셔츠류,맨투맨,맨투맨변형,54135,1633503000,1942062000,15.9
200709,티셔츠류,반팔티셔츠,변형폴로티,2224,57652000,57479200,-0.3
200709,패션잡화,가방,가방,403,17346800,18033400,3.8
200709,패션잡화,모자,모자,1584,29708500,29579200,-0.4
200709,패션잡화,벨트,벨트,700,19284700,20512000,6.0
200709,패션잡화,양말,양말,2734,10586600,10586600,0.0
200709,패션잡화,"우비,우산",우산,1,7000,9800,28.6
200709,패션잡화,장갑,장갑,-16,-96400,-192800,50.0
200709,패션잡화,패브릭잡화,목도리(머플러),-22,-506800,-1871600,72.9
200710,남성언더웨어,남성팬티,남성삼각,-18,-176400,-176400,0.0
200710,바지류,바지,다이마루바지,4389,107277700,116252200,7.7
200710,바지류,바지,반바지,0,-275000,-464000,40.7
200710,바지류,바지,변형바지,9289,400495600,442308200,9.5
200710,바지류,청바지,청바지,24332,796919600,1047041600,23.9
200710,셔츠류,남방,무지 셔츠,1067,27339000,27456600,0.4
200710,셔츠류,남방,변형 셔츠,618,26167600,25908400,-1.0
200710,셔츠류,남방,스트라이프,1213,29688000,34873400,14.9
200710,셔츠류,남방,체크,8449,246580500,251688200,2.0
200710,스웨터류,스웨터,기본스웨터,1662,41764600,47197600,11.5
200710,스웨터류,스웨터,풀오버스웨터,4059,138852600,157716200,12.0
200710,스웨터류,스웨터가디건,가디건,3057,120991300,144084600,16.0
200710,스웨터류,스웨터조끼,조끼,60,1188000,1188000,0.0
200710,스포츠웨어류,수영복,수영복,0,-92000,-160000,42.5
200710,신발,캔버스화,운동화,784,17678400,16771200,-5.4
200710,액세서리,액세서리 기타,"와펜,브로찌류",-6,-164900,-155100,-6.3
200710,외의류,점퍼,"가죽점퍼,무스탕",14,732000,2280800,67.9
